,Date,Tweet,Label
0,2020-07-06,corona ri juli positif tembus,Netral
1,2020-07-06,bantu china rupiah kuat ko,Positif
2,2020-07-06,bukti startup asia seksi mata investor asing,Positif
3,2020-07-06,ramairamai orang dadak dagang tanda,Negatif
4,2020-07-06,ancam delisting emiten tambang sinarmas rights issue,Negatif
5,2020-07-06,hore orang sembuh sakit covid ri,Positif
6,2020-07-06,update corona ri juli positif sembuh,Netral
7,2020-07-06,jokowi turun gas rumah kaca,Negatif
8,2020-07-06,duh covid ri lipat ganda bulan,Netral
9,2020-07-06,data guna ecommerce bocor bukti ri rawan cybercrime,Netral
10,2020-07-06,perry sepakat burden sharing sri mulyani,Negatif
11,2020-07-06,rencana mobil motor kena cukai kabar,Negatif
12,2020-07-06,rencana mobil motor kena cukai kabar,Negatif
13,2020-07-06,reli bursa asia lanjut bursa china lompat,Positif
14,2020-07-06,pgn bangun jaring gas rumah tangga juni,Negatif
15,2020-07-06,janji menteri johnny plate cepat digitalisasi televisi,Negatif
16,2020-07-06,lolos hukum mati pulang etty sambut menaker ida,Negatif
17,2020-07-06,bu khofifah aktif covid jatim kali lipat dki,Netral
18,2020-07-06,heboh lobster edhy prabowo beking anggota dpr,Negatif
19,2020-07-06,new normal konsumsi avtur sumatera utara,Positif
20,2020-07-06,duh pria tangkap polisi china gegara kritik xi jinping,Negatif
21,2020-07-06,tren koreksi rupiah henti laju kencang pekan,Negatif
22,2020-07-06,bright gas bangkit umkm puruk corona,Negatif
23,2020-07-06,kritik anies ppdb karang bunga padat balai kota dki,Negatif
24,2020-07-06,nomor ponsel email cs bocor internet bahaya,Negatif
25,2020-07-06,intip tampak bus transjakarta tenaga listrik,Negatif
26,2020-07-06,parah maskapai ri ancam bangkrut,Netral
27,2020-07-06,investor khawatir inflasi obligasi perintah ri tekan,Netral
28,2020-07-06,titah khusus menkominfo operator seluler nih,Negatif
29,2020-07-06,lagu alas ekspor mobil ri kalah telak thailand,Negatif
30,2020-07-06,adb bi sharing burden obligasi bunga,Negatif
31,2020-07-06,tampak kalung anti corona,Negatif
32,2020-07-06,tampak kalung anti corona,Negatif
33,2020-07-06,kontrak futures loncat dow jones buka poin,Positif
34,2020-07-06,lindung data pribadi curi hacker,Negatif
35,2020-07-06,data gojek adaptasi digital bantu warga jalan new normal,Negatif
36,2020-07-06,pekan kurs riyal arab saudi lemah tipis rp,Negatif
37,2020-07-06,siasia beli rekening bank tokopedia shopee,Negatif
38,2020-07-06,catat bagi beban perrysri mulyani,Negatif
39,2020-07-06,pangkas kerja maskapai terbang,Negatif
40,2020-07-06,sharing the pain perintah bi rela modal gerus,Netral
41,2020-07-06,mega skandal ungkap aku bos jiwasraya,Negatif
42,2020-07-06,bansos tunai sebar bank pelat merah ribu keluarga,Negatif
43,2020-07-06,manfaat warga kagum jknkis,Negatif
44,2020-07-06,menteri sehat pakistan positif covid,Negatif
45,2020-07-06,bayar iur bpjs sehat sakit,Negatif
46,2020-07-06,ikut titah jokowi bumn keroyokan bangun batang,Positif
47,2020-07-06,dki catat an corona bar spa larang buka,Netral
48,2020-07-06,cuan deposito investasi ori,Negatif
49,2020-07-06,kuat lawan dolar as rupiah ko mata uang eropa,Netral
50,2020-07-06,wisata bal resmi buka juli yuk libur,Positif
51,2020-07-06,ri merdeka investasi ori zero gagal bayar,Positif
52,2020-07-06,ri merdeka investasi ori zero gagal bayar,Positif
53,2020-07-06,harga emas melempem analis wall street,Netral
54,2020-07-06,jawab tarik aman pakai masker face shield,Negatif
55,2020-07-06,pusat industri dunia batang jalur kereta khusus,Negatif
56,2020-07-06,kemenkop bri dorong bangkit umkm via subsidi bunga kur,Negatif
57,2020-07-06,bos garuda pede tumpang pesawat capai,Negatif
58,2020-07-06,bos garuda tawar pensiun karyawan,Negatif
59,2020-07-06,investor pede dow jones loncat poin buka,Positif
60,2020-07-06,pusat pabrik dunia batang unggul lahan brebes,Negatif
61,2020-07-06,adu unggul tesla toyota kertas juara,Negatif
62,2020-07-06,cerita alot perry warjiyo korban nkri,Negatif
63,2020-07-06,heboh emas palsu china tipu,Negatif
64,2020-07-06,gagal bayar fitch sorot industri uang ri,Netral
65,2020-07-06,rencana pgn efisiensi program jargas,Negatif
66,2020-07-06,menaker ida pulang pmi etty dukung masyarakat,Negatif
67,2020-07-06,ekonomi kian pulih pasar uang tanah air kerek,Positif
68,2020-07-06,rupiah kuat rp us keok,Positif
69,2020-07-06,kontroversi corona sebar udara sikap who,Negatif
70,2020-07-07,deret canggih whatsapp update,Negatif
71,2020-07-07,tampak hotel lap emas vietnam,Negatif
72,2020-07-07,tampak hotel lap emas vietnam,Negatif
73,2020-07-07,harga emas antam tembus rp gak ya,Negatif
74,2020-07-07,aroma perkasa rupiah cium,Positif
75,2020-07-07,efek skandal jiwasraya cs fitch sorot tata kelola nonbank,Negatif
76,2020-07-07,bank korea caplok emiten ri kali tifa finance,Positif
77,2020-07-07,warning laut china selatan aschina panas,Netral
78,2020-07-07,keluarga alam jebak investasi bodong,Negatif
79,2020-07-07,jenis investasi bodong tahu sumber,Negatif
80,2020-07-07,laksana kultur new normal kunci bangkit ekonomi,Positif
81,2020-07-07,covid henti reli wall street nasdaq rekor,Positif
82,2020-07-07,prabowo duit rp t,Negatif
83,2020-07-07,redenominasi rp rp cerita zimbabwe gagal,Negatif
84,2020-07-07,cermat saham cuan kemarin,Positif
85,2020-07-07,percaya kalung ajaib tan tangkal corona,Negatif
86,2020-07-07,wall street kuat ihsg,Positif
87,2020-07-07,harga sih cadang emas ri,Negatif
88,2020-07-07,ihsg siapsiap cuan sahamsaham,Positif
89,2020-07-07,waspada corona infeksi juta warga bumi,Netral
90,2020-07-07,redenominasi rp rp fokus sri mulyani,Negatif
91,2020-07-07,investor optimistis ihsg tembus,Positif
92,2020-07-07,investor optimistis ihsg tembus,Positif
93,2020-07-07,shooting star muncul rupiah hajar dolar as,Positif
94,2020-07-07,pns kemenkeu pangkas lowong pkn stan setop,Negatif
95,2020-07-07,pgn masuk bisnis petrokimia,Negatif
96,2020-07-07,primadona transvision xstream banderol rp,Negatif
97,2020-07-07,buka pasar rupiah kuat rp us,Positif
98,2020-07-07,vaksin corona kebal jangka,Negatif
99,2020-07-07,ambles bulan rupiah balas dendam,Positif
100,2020-07-07,fitch waspada nonbank ri kabar aku bos jiwasraya,Negatif
101,2020-07-07,yes ihsg tembus saham bca mandiri borong,Positif
102,2020-07-07,tembus us emas tinggal tunggu us,Positif
103,2020-07-07,rumor bubar ojk krisis wacana buruk,Netral
104,2020-07-07,dpr gelar fit propert test calon deputi gubernur bi,Negatif
105,2020-07-07,misteri rakyat jepang kebal corona,Negatif
106,2020-07-07,wib rupiah kuat rp us,Positif
107,2020-07-07,ngegas harga emas antam rp gram,Positif
108,2020-07-07,emiten bei usaha,Positif
109,2020-07-07,gaspol saham bris terbang survivor bank bumn syariah,Positif
110,2020-07-07,us m cadang devisa ri us m,Positif
111,2020-07-07,ri ubah rp rp gak sih,Negatif
112,2020-07-07,ri ubah rp rp gak sih,Negatif
113,2020-07-07,dolar rp rupiah kuat asia,Positif
114,2020-07-07,fit proper test profil calon deputi gubernur bi,Negatif
115,2020-07-07,juta orang kena corona minyak kuat us barel,Positif
116,2020-07-07,rupiah ngamuk kurs dolar australia rp,Positif
117,2020-07-07,judi prostitusi sidang seungri eks bigbang gelar,Negatif
118,2020-07-07,vivo x serieus masuk ri spesifikasi harga,Negatif
119,2020-07-07,shell mundur nasib gas abadi blok masela,Negatif
120,2020-07-07,dpr panggil tan bahas progres program pangan pandemi,Negatif
121,2020-07-07,cerita rugi bisnis hong kong uu china,Negatif
122,2020-07-07,wib rupiah pangkas kuat rp us,Positif
123,2020-07-07,us tara rp taruh muka bangsa,Netral
124,2020-07-07,pakar india lepas gantung china,Negatif
125,2020-07-07,gems rights issue terbit juta saham,Negatif
126,2020-07-07,cair gaji ya,Negatif
127,2020-07-07,berkah pandemi sepeda peluang transformasi jakarta,Negatif
128,2020-07-07,gubernur bank indonesia direshuffle,Negatif
129,2020-07-07,kabar duka komposer ennio morricone tinggal dunia,Negatif
130,2020-07-07,tiktok setop operasi hong kong nih,Negatif
131,2020-07-07,sektor pilih aberdeen investasi pandemi,Negatif
132,2020-07-07,sektor pilih aberdeen investasi pandemi,Negatif
133,2020-07-07,ramairamai emiten grup mnc private placement,Negatif
134,2020-07-07,pekan harga batu bara lesat,Positif
135,2020-07-07,catat freeport keruk emas grasberg juta ons,Negatif
136,2020-07-07,habis rp m buyback saham xl axiata drop,Netral
137,2020-07-07,jokowi proyek tol trans sumatra butuh tambah rp t,Negatif
138,2020-07-07,ribut aschina perang hastag laut china selatan,Negatif
139,2020-07-07,gunung uang jagung sita rp miliar milik eks bos tppi,Negatif
140,2020-07-07,tipu rp t uang nasabah makan jin,Negatif
141,2020-07-07,transaksi bursa tingkat x ihsg tutup sesi,Positif
142,2020-07-07,us m cadev ri dekat rekor tinggi,Positif
143,2020-07-07,rangkasbitung guncang gempa m potensi tsunami,Negatif
144,2020-07-07,wib rupiah perkasa rp us,Positif
145,2020-07-07,harga cpo tipis rm,Positif
146,2020-07-07,jokowi geram proyek tol terowongan ri mandek,Negatif
147,2020-07-07,gubernur bi ganti istana,Negatif
148,2020-07-07,gempa banten m rasa warga dki jakarta,Negatif
149,2020-07-07,emiten ri caplok usaha korea saham,Positif
150,2020-07-07,tan syl anggar rp t,Negatif
151,2020-07-07,kabar beijing lapor nol covid,Positif
152,2020-07-07,kabar beijing lapor nol covid,Positif
153,2020-07-07,donald trump blokir tiktok,Negatif
154,2020-07-07,duh cit reli pasar saham tahun,Netral
155,2020-07-07,sita jagung gunung uang rp m milik eks bos tppi,Negatif
156,2020-07-07,anggota dpr ramairamai bully kalung anti virus tan,Negatif
157,2020-07-07,milenial fomo uang negara,Negatif
158,2020-07-07,kurang tekor jiwasraya sinarmas kembali rp m negara,Negatif
159,2020-07-07,cadev ri roket rupiah lari kencang asia,Positif
160,2020-07-07,cerita gunung uang rp m milik eks bos tppi,Negatif
161,2020-07-07,rudal nuklir luncur rusia ungsi warga,Negatif
162,2020-07-07,tan syl pamer kalung ajaib anti corona dpr,Negatif
163,2020-07-07,dear cari kerja maaf lowong cpns,Negatif
164,2020-07-07,duh tunda bayar obligasi saham modernland suspensi bei,Negatif
165,2020-07-07,laris manis mesan ori lampau target,Positif
166,2020-07-07,wib rupiah kuat rp us,Positif
167,2020-07-07,suasana latih perang ala as laut china selatan,Negatif
168,2020-07-07,ampuh kalung ajaib anti corona tan vs jepang,Negatif
169,2020-07-07,sentimen tumpang tindih sesi ii ihsg rapuh merah,Netral
170,2020-07-07,kuat untun dolar singapura ko,Netral
171,2020-07-07,rp harga emas gadai rp gram,Positif
172,2020-07-07,rp harga emas gadai rp gram,Positif
173,2020-07-07,bal buka turis domestik juli turis asing september,Positif
174,2020-07-07,kas berat modernland tunda bayar obligasi nila rp m,Negatif
175,2020-07-07,tayang malam trans tv sinopsis empire state,Negatif
176,2020-07-07,simak nih kabar perang dagang aschina,Negatif
177,2020-07-07,elon musk dukung kanye west presiden as lawan trump,Negatif
178,2020-07-07,positif covid lolos pesawat lion air riaujakarta,Negatif
179,2020-07-07,produksi emas freeport q bikin saham,Positif
180,2020-07-07,eks bos tppi gunung uang rp m buru,Negatif
181,2020-07-07,netflix buka indihome telkomsel,Positif
182,2020-07-07,nyata ilegal ojk klarifikasi,Negatif
183,2020-07-07,duh nyebrang wilayah australia denda rp juta,Negatif
